2018-11-25 17:08:52,700 DEBUG    server_v2_select(53) log.server_log_config 'Func "handle_client" from "__main__.select_server" got "(<socket.socket fd=9, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777)>, [<socket.socket fd=7, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58046)>, <socket.socket fd=8, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58050)>, <socket.socket fd=9, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777)>])", "{}"'
2018-11-25 17:08:56,148 DEBUG    server_v2_select(53) log.server_log_config 'Func "handle_client" from "__main__.select_server" got "(<socket.socket fd=8, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58050)>, [<socket.socket fd=7, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58046)>, <socket.socket fd=8, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58050)>])", "{}"'
2018-11-25 17:08:56,149 DEBUG    server_v2_select(53) log.server_log_config 'Func "decode_msg" from "__main__.handle_client" got "(b'',)", "{}"'
2018-11-25 17:08:56,149 DEBUG    server_v2_select(53) log.server_log_config 'Func "encode_msg" from "__main__.handle_client" got "({},)", "{}"'
2018-11-25 17:08:56,149 DEBUG    server_v2_select(53) log.server_log_config 'Func "encode_msg" from "__main__.handle_client" got "({},)", "{}"'
2018-11-25 17:08:56,354 DEBUG    server_v2_select(53) log.server_log_config 'Func "handle_client" from "__main__.select_server" got "(<socket.socket fd=8, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777)>, [<socket.socket fd=7, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58046)>, <socket.socket fd=8, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777)>])", "{}"'
2018-11-25 17:08:57,775 DEBUG    server_v2_select(53) log.server_log_config 'Func "handle_client" from "__main__.select_server" got "(<socket.socket fd=7, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58046)>, [<socket.socket fd=7, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58046)>])", "{}"'
2018-11-25 17:08:57,776 DEBUG    server_v2_select(53) log.server_log_config 'Func "decode_msg" from "__main__.handle_client" got "(b'',)", "{}"'
2018-11-25 17:08:57,776 DEBUG    server_v2_select(53) log.server_log_config 'Func "encode_msg" from "__main__.handle_client" got "({},)", "{}"'
2018-11-25 17:08:57,982 DEBUG    server_v2_select(53) log.server_log_config 'Func "handle_client" from "__main__.select_server" got "(<socket.socket fd=7, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777)>, [<socket.socket fd=7, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777)>])", "{}"'
2018-11-25 17:08:59,818 WARNING  server_v2_select(104) log.server_log_config 'Server stopped by user'
2018-11-25 17:08:59,818 INFO     server_v2_select(109) log.server_log_config 'Close connection server.close()'
